Mass Number (A),Atomic Number (Z),Element,Half-Life (s),Beta Branch Ratio,Beta Partial Half-Life (log(s))
1,0,1n,609.8,1.0,2.785187420029362
3,1,3H,388781328.32,1.0,8.589705399252408
6,2,6He,0.80692,1.0,-0.0931695201487791
8,2,8He,0.1195,1.0,-0.9226320947158435
8,3,8Li,0.8387000000000001,1.0,-0.07639335698254082
9,3,9Li,0.1782,1.0,-0.7490923002991441
10,4,10Be,43769456362000.0,1.0,13.641171152497286
11,3,11Li,0.00875,1.0,-2.057991946977687
11,4,11Be,13.76,1.0,1.1386184338994925
12,4,12Be,0.02146,1.0,-1.6683702823700677
12,5,12B,0.0202,1.0,-1.6946486305533763
13,5,13B,0.01716,1.0,-1.7654827164873133
14,4,14Be,0.00453,1.0,-2.343901797987168
14,5,14B,0.01236,1.0,-1.907981529247203
14,6,14C,179874478200.0,1.0,11.254969547096493
15,5,15B,0.01018,1.0,-1.99225222199926
15,6,15C,2.449,1.0,0.3889887851247141
16,6,16C,0.75,1.0,-0.12493873660829995
16,7,16N,7.13,1.0,0.8530895298518656
17,5,17B,0.00508,1.0,-2.2941362877160807
17,6,17C,0.193,1.0,-0.7144426909922262
17,7,17N,4.173,1.0,0.6204483847117088
18,6,18C,0.092,1.0,-1.0362121726544449
18,7,18N,0.6192000000000001,1.0,-0.20816905232516375
19,5,19B,0.00292,1.0,-2.5346171485515816
19,6,19C,0.0462,1.0,-1.3353580244438745
19,7,19N,0.336,1.0,-0.4736607226101559
19,8,19O,26.47,1.0,1.4227539413013481
20,6,20C,0.016,1.0,-1.7958800173440752
20,7,20N,0.136,1.0,-0.8664610916297825
20,8,20O,13.51,1.0,1.1306553490220306
20,9,20F,11.0062,1.0,1.0416374003620352
21,7,21N,0.085,1.0,-1.0705810742857071
21,8,21O,3.42,1.0,0.534026106056135
21,9,21F,4.158,1.0,0.6188844849954505
22,6,22C,0.0062,1.0,-2.207608310501746
22,7,22N,0.023,1.0,-1.6382721639824072
22,8,22O,2.25,1.0,0.3521825181113625
22,9,22F,4.23,1.0,0.6263403673750424
23,7,23N,0.0139,1.0,-1.856985199745905
23,8,23O,0.097,1.0,-1.0132282657337552
