Mass Number (A),Atomic Number (Z),Element,Half-Life (s),Beta Branch Ratio,Beta Partial Half-Life (log(s)),Q_beta- WS4 (keV),Q_beta- WS4+RBF (keV),Pairing Term,Predicted Half-Life (log(s)),Uncertainty (std dev),Lower CI (95%),Upper CI (95%)
19.0,8.0,19O,26.47,1.0,1.422753941301348,5150.400000000001,5097.5,0,1.5808468,0.8466197,-0.07852793,3.2402215
20.0,8.0,20O,13.51,1.0,1.1306553490220306,3226.3,3469.4,1,1.7229085,0.8232958,0.10924876,3.3365684
20.0,9.0,20F,11.0062,1.0,1.0416374003620352,6664.8,6779.400000000001,-1,1.6851513,0.9172569,-0.11267221,3.482975
21.0,8.0,21O,3.42,1.0,0.534026106056135,8463.1,8495.9,0,0.13068402,0.46417686,-0.7791026,1.0404706
21.0,9.0,21F,4.158,1.0,0.6188844849954505,4649.3,5112.6,0,1.885498,0.90426916,0.11313045,3.6578655
22.0,8.0,22O,2.25,1.0,0.3521825181113625,6438.0,6503.4000000000015,1,0.13059694,0.44186535,-0.73545915,0.996653
22.0,9.0,22F,4.23,1.0,0.6263403673750424,10352.5,10741.5,-1,0.1715585,0.50367624,-0.81564695,1.1587639
23.0,8.0,23O,0.097,1.0,-1.0132282657337552,11572.7,11516.3,0,-0.97315764,0.37350896,-1.7052352,-0.24108005
23.0,9.0,23F,2.23,1.0,0.3483048630481606,8357.2,8421.3,0,0.16372943,0.4749598,-0.76719177,1.0946506
23.0,10.0,23Ne,37.15,1.0,1.569958818096594,3574.6000000000013,4259.9,0,2.5818806,1.051787,0.5203779,4.643383
24.0,8.0,24O,0.0774,1.0,-1.1112590393171071,10569.2,10373.8,1,-1.2572808,0.39166245,-2.0249393,-0.4896224
24.0,9.0,24F,0.384,1.0,-0.4156687756324692,13688.4,14011.5,-1,-1.0240185,0.37668443,-1.76232,-0.285717
24.0,10.0,24Ne,202.8,1.0,2.3070679506612985,1781.9000000000003,2100.2999999999984,1,2.7678432,0.97430426,0.85820687,4.6774797
24.0,11.0,24Na,53841.6,1.0,4.731117957249469,5241.2,5306.600000000001,-1,2.5631762,1.0995643,0.40803003,4.7183223
25.0,9.0,25F,0.08,1.0,-1.0969100130080565,12380.999999999998,12442.0,0,-1.1761318,0.38639507,-1.9334662,-0.4187975
25.0,10.0,25Ne,0.602,1.0,-0.2204035087421754,7725.7,8148.999999999999,0,0.39846128,0.5474825,-0.6746045,1.4715271
25.0,11.0,25Na,59.1,1.0,1.7715874808812555,3149.1000000000004,3293.300000000001,0,2.857896,1.1143057,0.67385674,5.0419354
26.0,9.0,26F,0.0081999999999999,1.0,-2.0861861476162886,18673.4,18563.9,-1,-1.5591624,0.411756,-2.3662043,-0.7521206
26.0,10.0,26Ne,0.197,1.0,-0.7055337738384071,6439.9,6836.7,1,0.10437375,0.4370917,-0.752326,0.9610735
26.0,11.0,26Na,1.07128,1.0,0.0299029970334962,9291.3,9669.199999999995,-1,0.49843222,0.6001546,-0.6778708,1.6747353
27.0,9.0,27F,0.005,1.0,-2.3010299956639813,18173.5,17495.0,0,-1.7979045,0.4282335,-2.6372423,-0.9585668
27.0,10.0,27Ne,0.0309,1.0,-1.5100415205751654,12583.0,12848.5,0,-1.1990342,0.38787472,-1.9592687,-0.43879974
27.0,11.0,27Na,0.301,1.0,-0.5214335044061567,7882.700000000001,8382.5,0,0.33326197,0.52896506,-0.70350957,1.3700335
27.0,12.0,27Mg,566.1,1.0,2.752893154884594,2803.8,2997.000000000002,0,3.0790544,1.165453,0.7947664,5.3633423
28.0,10.0,28Ne,0.0188,1.0,-1.7258421507363202,11885.4,11772.4,1,-1.4165671,0.4021611,-2.204803,-0.6283313
28.0,11.0,28Na,0.0331,1.0,-1.4801720062242814,13892.9,14386.9,-1,-1.0484208,0.37822857,-1.7897488,-0.3070928
28.0,12.0,28Mg,75294.0,1.0,4.876760369683937,1320.0000000000018,1565.2999999999993,1,3.1648438,0.9977999,1.209156,5.1205316
28.0,13.0,28Al,134.70000000000002,1.0,2.129367595722986,4596.399999999998,4732.599999999999,-1,2.9680364,1.1920782,0.63156295,5.30451
29.0,9.0,29F,0.0025,1.0,-2.6020599913279625,21432.200000000004,20745.5,0,-2.1563325,0.4542571,-3.0466764,-1.2659886
29.0,10.0,29Ne,0.0147,1.0,-1.832682665251824,16670.5,16124.5,0,-1.6378944,0.41713244,-2.455474,-0.8203148
29.0,11.0,29Na,0.0432,1.0,-1.3645162531850878,12910.4,12866.9,0,-1.2353895,0.390233,-2.000246,-0.47053277
29.0,12.0,29Mg,1.3,1.0,0.1139433523068367,7514.5,8034.999999999998,0,0.44269902,0.56111485,-0.6570861,1.542484
29.0,13.0,29Al,393.6,1.0,2.595055089759304,2669.0999999999985,3045.900000000005,0,3.1561608,1.1823483,0.83875823,5.473563
30.0,10.0,30Ne,0.00722,1.0,-2.141462802430361,15242.999999999998,14701.6,1,-1.7771237,0.42677853,-2.6136096,-0.94063777
30.0,11.0,30Na,0.0458999999999999,1.0,-1.3381873144627396,17850.9,17636.7,-1,-1.4733882,0.40596244,-2.2690744,-0.67770183
30.0,12.0,30Mg,0.317,1.0,-0.4989407377822485,6346.5,6638.299999999999,1,0.114620924,0.43931022,-0.7464271,0.97566897
30.0,13.0,30Al,3.62,1.0,0.5587085705331657,8832.400000000001,9159.400000000003,-1,0.62503356,0.6413563,-0.6320248,1.882092
31.0,10.0,31Ne,0.0034,1.0,-2.468521082957745,19331.0,18661.6,0,-1.9246612,0.43722856,-2.781629,-1.0676932
31.0,11.0,31Na,0.0168,1.0,-1.7746907182741372,16364.3,15571.000000000002,0,-1.606277,0.4149666,-2.4196115,-0.7929424
31.0,12.0,31Mg,0.27,1.0,-0.5686362358410126,11454.2,11684.7,0,-0.9781338,0.3738183,-1.7108177,-0.2454499
31.0,13.0,31Al,0.644,1.0,-0.1911141326401879,7481.5,7889.700000000001,0,0.44067723,0.5608097,-0.6585098,1.5398643
31.0,14.0,31Si,9429.6,1.0,3.974493270523413,1521.5,1497.0,0,3.9500854,1.3609945,1.2825363,6.617635
32.0,10.0,32Ne,0.0035,1.0,-2.4559319556497243,18678.7,18339.599999999995,1,-2.1541865,0.45408696,-3.044197,-1.264176
32.0,11.0,32Na,0.0129,1.0,-1.889410289700751,20221.800000000003,19495.6,-1,-1.7280917,0.4233612,-2.5578797,-0.89830375
32.0,12.0,32Mg,0.0804,1.0,-1.0947439512515489,10446.2,10257.6,1,-1.260833,0.3918914,-2.0289402,-0.4927259
